Date,Year,Quarter,FY,QFY,Month,REV_GRA_14,REV_TAX_14,REV_TAX_IT_14,REV_TAX_IT_IND_14,REV_TAX_IT_COR_14,REV_TAX_IT_UA_14,REV_TAX_GS_14,REV_TAX_GS_GEN_14,REV_TAX_GS_VAT_14,REV_TAX_GS_VAT_REF_14,REV_TAX_GS_EXD_14,REV_TAX_GS_SS_14,REV_TAX_GS_UG_14,REV_TAX_INL_14,REV_TAX_INL_ID_14,REV_TAX_INL_EX_14,REV_TAX_INL_EX_PEMM_14,REV_TAX_OTH_14,GRA_14,GRA_BUD_14,GRA_PRO_14,GRA_GOV_14,REV_OTH_14,REV_OTH_PI_14,REV_OTH_PI_I_14,REV_OTH_PI_DIV_14,REV_OTH_PI_R_14,REV_OTH_GS_14,REV_OTH_GS_MKT_14,REV_OTH_GS_FEE_14,REV_OTH_GS_NMKT_14,REV_OTH_FEE_14,REV_OTH_VT_14,REV_OTH_OTH_14
1997-07-01,1997,Q3,1997/98,Q1,July,81.0375683333333,63.983,9.02,3.13,1.09,4.8,46.033,18.483,19.983,-1.5,25.73,0.01,1.81,8.38,8.38,0,0,0.55,17.0117083333333,0,17.0117083333333,0,0.04286,0,,,,0,0,,,,,
1997-08-01,1997,Q3,1997/98,Q1,August,75.2152883333333,57.89,6.93,3.29,0.67,2.97,42.76,17.06,18.56,-1.5,24.17,0.02,1.51,7.67,7.67,0,0,0.53,17.0117083333333,0,17.0117083333333,0,0.31358,0,,,,0,0,,,,,
1997-09-01,1997,Q3,1997/98,Q1,September,83.0383883333333,65.83,9.38,3.72,2.13,3.53,47.62,20.77,22.07,-1.3,25.04,0.02,1.79,8.22,8.22,0,0,0.61,17.0117083333333,0,17.0117083333333,0,0.19668,0,,,,0,0,,,,,
1997-10-01,1997,Q4,1997/98,Q2,October,85.2097283333333,66.31,8.24,3.51,0.85,3.88,49.38,20.75,21.55,-0.8,26.77,0.02,1.84,8.2,8.2,0,0,0.49,18.7950483333333,1.78334,17.0117083333333,0,0.10468,0,,,,0,0,,,,,
1997-11-01,1997,Q4,1997/98,Q2,November,79.5757383333333,60.06,7.57,3.3,1.03,3.24,44.4,18.75,19.75,-1,23.98,0.02,1.65,7.61,7.61,0,0,0.48,19.2934383333333,2.28173,17.0117083333333,0,0.2223,0,,,,0,0,,,,,
1997-12-01,1997,Q4,1997/98,Q2,December,91.0538683333333,72.36,17.07,4.42,7.98,4.67,46.8,19.14,20.14,-1,26.03,0.02,1.61,8.03,8.03,0,0,0.46,18.5437483333333,1.53204,17.0117083333333,0,0.15012,0,,,,0,0,,,,,
1998-01-01,1998,Q1,1997/98,Q3,January,88.2314583333333,61.5,7.3,3.5,0.75,3.05,46.88,18.42,19.62,-1.2,26.86,0.03,1.57,6.82,6.82,0,0,0.5,26.5401083333333,9.5284,17.0117083333333,0,0.19135,0,,,,0,0,,,,,
1998-02-01,1998,Q1,1997/98,Q3,February,111.784628333333,63.23,9.14,4.34,1.27,3.53,45.55,19.32,20.52,-1.2,24.65,0.02,1.56,8.08,8.08,0,0,0.46,48.2741483333333,31.26244,17.0117083333333,0,0.28048,0,,,,0,0,,,,,
1998-03-01,1998,Q1,1997/98,Q3,March,127.312448333333,69.74,10.87,4.59,1.7,4.58,49.84,22.96,24.16,-1.2,25.08,0.02,1.78,8.45,8.45,0,0,0.58,57.3846983333333,40.37299,17.0117083333333,0,0.18775,0,,,,0,0,,,,,
1998-04-01,1998,Q2,1997/98,Q4,April,82.1869683333333,63.83,9.51,4.6,0.72,4.19,45.66,19.88,21.08,-1.2,24.2,0.04,1.54,8.09,8.09,0,0,0.57,18.1692183333333,1.15751,17.0117083333333,0,0.18775,0,,,,0,0,,,,,
